"band","word"
"Pink Floyd","day"
"Pink Floyd","wall"
"Pink Floyd","threw"
"Pink Floyd","locks"
"Pink Floyd","ground"
"Pink Floyd","glasses"
"Pink Floyd","raised"
"Pink Floyd","cry"
"Pink Floyd","freedom"
"Pink Floyd","arrived"
"Pink Floyd","day"
"Pink Floyd","wall"
"Pink Floyd","ship"
"Pink Floyd","fools"
"Pink Floyd","finally"
"Pink Floyd","ran"
"Pink Floyd","aground"
"Pink Floyd","promises"
"Pink Floyd","lit"
"Pink Floyd","night"
"Pink Floyd","paper"
"Pink Floyd","doves"
"Pink Floyd","flight"
"Pink Floyd","dreamed"
"Pink Floyd","left"
"Pink Floyd","warmth"
"Pink Floyd","pride"
"Pink Floyd","remained"
"Pink Floyd","life"
"Pink Floyd","devalues"
"Pink Floyd","day"
"Pink Floyd","day"
"Pink Floyd","friends"
"Pink Floyd","neighbors"
"Pink Floyd","change"
"Pink Floyd","regret"
"Pink Floyd","undone"
"Pink Floyd","frontiers"
"Pink Floyd","shift"
"Pink Floyd","desert"
"Pink Floyd","sands"
"Pink Floyd","nations"
"Pink Floyd","wash"
"Pink Floyd","bloodied"
"Pink Floyd","hands"
"Pink Floyd","loyalty"
"Pink Floyd","history"
"Pink Floyd","shades"
"Pink Floyd","grey"
"Pink Floyd","woke"
"Pink Floyd","sound"
"Pink Floyd","drums"
"Pink Floyd","music"
"Pink Floyd","played"
"Pink Floyd","morning"
"Pink Floyd","sun"
"Pink Floyd","streamed"
"Pink Floyd","looked"
"Pink Floyd","bitter"
"Pink Floyd","residues"
"Pink Floyd","slipped"
"Pink Floyd","slipped"
"Pink Floyd","david"
"Pink Floyd","gilmour"
"Pink Floyd","polly"
"Pink Floyd","samson"
"Pink Floyd","day"
"Pink Floyd","wall"
"Pink Floyd","threw"
"Pink Floyd","locks"
"Pink Floyd","ground"
"Pink Floyd","glasses"
"Pink Floyd","raised"
"Pink Floyd","cry"
"Pink Floyd","freedom"
"Pink Floyd","arrived"
"Pink Floyd","day"
"Pink Floyd","wall"
"Pink Floyd","ship"
"Pink Floyd","fools"
"Pink Floyd","finally"
"Pink Floyd","run"
"Pink Floyd","aground"
"Pink Floyd","promises"
"Pink Floyd","lit"
"Pink Floyd","night"
"Pink Floyd","paper"
"Pink Floyd","doves"
"Pink Floyd","flight"
"Pink Floyd","dreamed"
"Pink Floyd","left"
"Pink Floyd","warmth"
"Pink Floyd","pride"
"Pink Floyd","remained"
"Pink Floyd","life"
"Pink Floyd","devolves"
"Pink Floyd","day"
"Pink Floyd","day"
"Pink Floyd","friends"
"Pink Floyd","neighbours"
"Pink Floyd","change"
"Pink Floyd","regret"
"Pink Floyd","undone"
"Pink Floyd","frontiers"
"Pink Floyd","shift"
"Pink Floyd","desert"
"Pink Floyd","sands"
"Pink Floyd","nations"
"Pink Floyd","wash"
"Pink Floyd","bloodied"
"Pink Floyd","hands"
"Pink Floyd","loyalty"
"Pink Floyd","history"
"Pink Floyd","shades"
"Pink Floyd","grey"
"Pink Floyd","woke"
"Pink Floyd","sound"
"Pink Floyd","drums"
"Pink Floyd","music"
"Pink Floyd","played"
"Pink Floyd","morning"
"Pink Floyd","sun"
"Pink Floyd","streamed"
"Pink Floyd","looked"
"Pink Floyd","bitter"
"Pink Floyd","residue"
"Pink Floyd","slipped"
"Pink Floyd","slipped"
"Pink Floyd","cloud"
"Pink Floyd","eider"
"Pink Floyd","draws"
"Pink Floyd","softening"
"Pink Floyd","sound"
"Pink Floyd","sleepy"
"Pink Floyd","time"
"Pink Floyd","life"
"Pink Floyd","love"
"Pink Floyd","breathing"
"Pink Floyd","low"
"Pink Floyd","candle"
"Pink Floyd","dies"
"Pink Floyd","night"
"Pink Floyd","lock"
"Pink Floyd","door"
"Pink Floyd","boot"
"Pink Floyd","falls"
"Pink Floyd","floor"
"Pink Floyd","darkness"
"Pink Floyd","falls"
"Pink Floyd","waves"
"Pink Floyd","roll"
"Pink Floyd","seasons"
"Pink Floyd","change"
"Pink Floyd","wind"
"Pink Floyd","raw"
"Pink Floyd","wakes"
"Pink Floyd","hour"
"Pink Floyd","sleeps"
"Pink Floyd","swan"
"Pink Floyd","behold"
"Pink Floyd","dream"
"Pink Floyd","dream"
"Pink Floyd","green"
"Pink Floyd","fields"
"Pink Floyd","cold"
"Pink Floyd","rain"
"Pink Floyd","falling"
"Pink Floyd","golden"
"Pink Floyd","dawn"
"Pink Floyd","deep"
"Pink Floyd","beneath"
"Pink Floyd","ground"
"Pink Floyd","morning"
"Pink Floyd","sounds"
"Pink Floyd","sleepy"
"Pink Floyd","time"
"Pink Floyd","life"
"Pink Floyd","love"
"Pink Floyd","breathing"
"Pink Floyd","low"
"Pink Floyd","rise"
"Pink Floyd","bird"
"Pink Floyd","haze"
"Pink Floyd","rays"
"Pink Floyd","touch"
"Pink Floyd","sky"
"Pink Floyd","night"
"Pink Floyd","winds"
"Pink Floyd","die"
"Pink Floyd","bath"
"Pink Floyd","tequila"
"Pink Floyd","manuel"
"Pink Floyd","leaf"
"Pink Floyd","cringle"
"Pink Floyd","laugh"
"Pink Floyd","lisp"
"Pink Floyd","kill"
"Pink Floyd","spanish"
"Pink Floyd","music"
"Pink Floyd","sets"
"Pink Floyd","soul"
"Pink Floyd","fire"
"Pink Floyd","lovely"
"Pink Floyd","seniorita"
"Pink Floyd","eyes"
"Pink Floyd","stars"
"Pink Floyd","teeth"
"Pink Floyd","pearls"
"Pink Floyd","ruby"
"Pink Floyd","lips"
"Pink Floyd","seniorita"
"Pink Floyd","daddys"
"Pink Floyd","flown"
"Pink Floyd","ocean"
"Pink Floyd","leaving"
"Pink Floyd","memory"
"Pink Floyd","snapshot"
"Pink Floyd","family"
"Pink Floyd","album"
"Pink Floyd","daddy"
"Pink Floyd","leave"
"Pink Floyd","dad"
"Pink Floyd","leave"
"Pink Floyd","brick"
"Pink Floyd","wall"
"Pink Floyd","bricks"
"Pink Floyd","wall"
"Pink Floyd","hey"
"Pink Floyd","children"
"Pink Floyd","speaking"
"Pink Floyd","helicopters"
"Pink Floyd","stand"
"Pink Floyd","laddie"
"Pink Floyd","grew"
"Pink Floyd","school"
"Pink Floyd","teachers"
"Pink Floyd","hurt"
"Pink Floyd","children"
"Pink Floyd","pouring"
"Pink Floyd","region"
"Pink Floyd","exposing"
"Pink Floyd","weakness"
"Pink Floyd","carefully"
"Pink Floyd","kids"
"Pink Floyd","education"
"Pink Floyd","control"
"Pink Floyd","dark"
"Pink Floyd","sarcasm"
"Pink Floyd","classroom"
"Pink Floyd","teachers"
"Pink Floyd","leave"
"Pink Floyd","kids"
"Pink Floyd","hey"
"Pink Floyd","teacher"
"Pink Floyd","leave"
"Pink Floyd","kids"
"Pink Floyd","brick"
"Pink Floyd","wall"
"Pink Floyd","brick"
"Pink Floyd","wall"
"Pink Floyd","education"
"Pink Floyd","control"
"Pink Floyd","dark"
"Pink Floyd","sarcasm"
"Pink Floyd","classroom"
"Pink Floyd","teachers"
"Pink Floyd","leave"
"Pink Floyd","kids"
"Pink Floyd","hey"
"Pink Floyd","teacher"
"Pink Floyd","leave"
"Pink Floyd","kids"
"Pink Floyd","brick"
"Pink Floyd","wall"
"Pink Floyd","brick"
"Pink Floyd","wall"
"Pink Floyd","spoken"
"Pink Floyd","wrong"
"Pink Floyd","wrong"
"Pink Floyd","eat"
"Pink Floyd","yer"
"Pink Floyd","meat"
"Pink Floyd","pudding"
"Pink Floyd","pudding"
"Pink Floyd","eat"
"Pink Floyd","yer"
"Pink Floyd","meat"
"Pink Floyd","bikesheds"
"Pink Floyd","stand"
"Pink Floyd","laddie"
"Pink Floyd","sound"
"Pink Floyd","tv's"
"Pink Floyd","coming"
"Pink Floyd","channels"
"Pink Floyd","bulls"
"Pink Floyd","pink"
"Pink Floyd","aaaaaaaaaaaaaaaaaaaaaaaarrrrrgh"
"Pink Floyd","roman"
"Pink Floyd","meal"
"Pink Floyd","bakery"
"Pink Floyd","arms"
"Pink Floyd","dont"
"Pink Floyd","drugs"
"Pink Floyd","calm"
"Pink Floyd","writing"
"Pink Floyd","wall"
"Pink Floyd","bricks"
"Pink Floyd","wall"
"Pink Floyd","bricks"
"Pink Floyd","wall"
"Pink Floyd","flip"
"Pink Floyd","top"
"Pink Floyd","pack"
"Pink Floyd","cigarettes"
"Pink Floyd","pocket"
"Pink Floyd","feeling"
"Pink Floyd","top"
"Pink Floyd","shopping"
"Pink Floyd","sharp"
"Pink Floyd","shoes"
"Pink Floyd","walking"
"Pink Floyd","sunshine"
"Pink Floyd","town"
"Pink Floyd","feeling"
"Pink Floyd","cool"
"Pink Floyd","butchers"
"Pink Floyd","bakers"
"Pink Floyd","supermarket"
"Pink Floyd","stores"
"Pink Floyd","supermarket"
"Pink Floyd","stores"
"Pink Floyd","apples"
"Pink Floyd","oranges"
"Pink Floyd","apples"
"Pink Floyd","oranges"
"Pink Floyd","cornering"
"Pink Floyd","neatly"
"Pink Floyd","trips"
"Pink Floyd","sweetly"
"Pink Floyd","meet"
"Pink Floyd","people"
"Pink Floyd","time"
"Pink Floyd","catch"
"Pink Floyd","eye"
"Pink Floyd","stop"
"Pink Floyd","funny"
"Pink Floyd","feeling"
"Pink Floyd","pink"
"Pink Floyd","apples"
"Pink Floyd","oranges"
"Pink Floyd","apples"
"Pink Floyd","oranges"
"Pink Floyd","love"
"Pink Floyd","loves"
"Pink Floyd","lorry"
"Pink Floyd","driver"
"Pink Floyd","run"
"Pink Floyd","river"
"Pink Floyd","feeding"
"Pink Floyd","ducks"
"Pink Floyd","afternoon"
"Pink Floyd","tide"
"Pink Floyd","quack"
"Pink Floyd","quack"
"Pink Floyd","apples"
"Pink Floyd","oranges"
"Pink Floyd","apples"
"Pink Floyd","oranges"
"Pink Floyd","apples"
"Pink Floyd","oranges"
"Pink Floyd","feeling"
