"band","trigram"
"AC/DC","top nothings gonna"
"AC/DC","nothings gonna stop"
"AC/DC","wanna boogie woogie"
"AC/DC","driving round town"
"AC/DC","summer time blues"
"AC/DC","time blues shouting"
"AC/DC","fun waiting round"
"AC/DC","millionaire repeat repeat"
"AC/DC","fuckin jumbo jet"
"AC/DC","walkin kinda rough"
"AC/DC","fast wo wo"
"AC/DC","wo wo wo"
"AC/DC","alright tonight alright"
"AC/DC","tonight alright tonight"
"AC/DC","alright tonight alright"
"AC/DC","tonight alright tonight"
"AC/DC","alright tonight alright"
"AC/DC","tonight alright tonight"
"AC/DC","alright tonight alright"
"AC/DC","tonight alright tonight"
"AC/DC","alright tonight alright"
"AC/DC","tonight alright tonight"
"AC/DC","alright tonight alright"
"AC/DC","tonight alright tonight"
"AC/DC","alright tonight alright"
"AC/DC","tonight alright tonight"
"AC/DC","alright tonight alright"
"AC/DC","tonight alright tonight"
"AC/DC","alright tonight tonight"
"AC/DC","tonight tonight tonight"
"AC/DC","alright tonight alright"
"AC/DC","tonight alright tonight"
"AC/DC","alright tonight alright"
"AC/DC","tonight alright tonight"
"AC/DC","alright tonight alright"
"AC/DC","tonight alright tonight"
"AC/DC","alright tonight alright"
"AC/DC","tonight alright tonight"
"AC/DC","alright tonight alright"
"AC/DC","tonight alright tonight"
"AC/DC","alright tonight tonight"
"AC/DC","alright tonight angus"
"AC/DC","rocking band standing"
"AC/DC","token prize giving"
"AC/DC","fast heavy tune"
"AC/DC","heavy rocking tune"
"AC/DC","heavy rocking tune"
"AC/DC","flat screen colour"
"AC/DC","screen colour tv"
"AC/DC","colour tv sneaking"
"AC/DC","ready sweet apple"
"AC/DC","sweet apple pie"
"AC/DC","apple pie standing"
"AC/DC","street hands outta"
"AC/DC","hands outta line"
"AC/DC","ready ready ready"
"AC/DC","lives cat's eyes"
"AC/DC","cat's eyes usin"
"AC/DC","pack nobody's gonna"
"AC/DC","black hooo yeah"
"AC/DC","hooo yeah ohh"
"AC/DC","yeah ohh yeah"
"AC/DC","oooh yeah yeah"
"AC/DC","black outta sight"
"AC/DC","outta sight breakin"
"AC/DC","stingin knife steal"
"AC/DC","screamin murder lock"
"AC/DC","door double dealin"
"AC/DC","double dealin gotta"
"AC/DC","bone bad luck"
"AC/DC","bad luck message"
"AC/DC","cannon ball goin"
"AC/DC","automobile floor whats"
"AC/DC","protection alright momma"
"AC/DC","alright momma gotta"
"AC/DC","momma gotta listen"
"AC/DC","seat confidential solo"
"AC/DC","passion floor whats"
"AC/DC","bad boy boogie"
"AC/DC","boy boogie bein"
"AC/DC","bad boy boogie"
"AC/DC","runnin bad boy"
"AC/DC","bad boy boogie"
"AC/DC","bad boy boogie"
"AC/DC","round bad boy"
"AC/DC","bad boy boogie"
"AC/DC","found bad boy"
"AC/DC","bad boy boogie"
"AC/DC","bound bad boy"
"AC/DC","bad boy boogie"
"AC/DC","bad boy boogie"
"AC/DC","boy boogie bad"
"AC/DC","boogie bad boy"
"AC/DC","bad boy boogie"
"AC/DC","boy boogie bad"
"AC/DC","boogie bad boy"
"AC/DC","bad boy boogie"
"AC/DC","fast hand loving"
"AC/DC","stand outlaw quick"
"AC/DC","outlaw quick draw"
"AC/DC","quick draw evil"
"AC/DC","draw evil talking"
"AC/DC","evil talking bandit"
"AC/DC","fast hand loving"
"AC/DC","stand outlaw quick"
"AC/DC","outlaw quick draw"
"AC/DC","quick draw evil"
"AC/DC","draw evil talking"
"AC/DC","evil talking bandit"
"AC/DC","ballbreaker ballbreaker engine"
"AC/DC","ballbreaker engine roll"
"AC/DC","fat smokin stack"
"AC/DC","smokin stack hangin"
"AC/DC","load honey shoot"
"AC/DC","ballbreaker ballbreaker ballbreaker"
"AC/DC","ballbreaker ballbreaker yeah"
"AC/DC","ballbreaker yeah wreckin"
"AC/DC","yeah wreckin ball"
"AC/DC","ballbreaker buildin steam"
"AC/DC","choke honey shoot"
"AC/DC","ballbreaker ballbreaker ballbreaker"
"AC/DC","ballbreaker ballbreaker ballbreaker"
"AC/DC","ballbreaker ballbreaker ballbreaker"
"AC/DC","ballbreaker ballbreaker ballbreaker"
"AC/DC","ballbreaker ballbreaker ballbreaker"
"AC/DC","bullet proof vest"
"AC/DC","blood run bedlam"
"AC/DC","stage cops enraged"
"AC/DC","cops enraged crying"
"AC/DC","war war war"
"AC/DC","war war bedlam"
"AC/DC","society god's gift"
"AC/DC","wonderful fun seafood"
"AC/DC","fun seafood cocktail"
"AC/DC","seafood cocktail crabs"
"AC/DC","cocktail crabs crayfish"
"AC/DC","crabs crayfish ball"
"AC/DC","crayfish ball sucker"
"AC/DC","ball sucker riot"
"AC/DC","silver screen sticking"
"AC/DC","screen sticking em"
"AC/DC","terminators uzi makers"
"AC/DC","uzi makers shootin"
